자치구,CCTV댓수,2021년,2017년 이전,최근 3개년,최근 증가율
종로구,1772,43,1435,294,20.49
중 구,2333,289,1142,902,78.98
용산구,2383,0,1334,1049,78.64
성동구,3602,76,2413,1113,46.13
광진구,2588,32,1204,1352,112.29
동대문구,2497,63,1805,629,34.85
중랑구,3296,4,1131,2161,191.07
성북구,3958,188,1938,1832,94.53
강북구,2462,39,443,1980,446.95
도봉구,1629,331,710,588,82.82
노원구,2415,104,1389,922,66.38
은평구,3791,131,1680,1980,117.86
서대문구,2940,1,1962,977,49.8
마포구,2421,20,1264,1137,89.95
양천구,3312,0,2573,739,28.72
강서구,2560,123,1365,1072,78.53
구로구,4075,0,2738,1337,48.83
금천구,2374,9,948,1417,149.47
영등포구,3778,5,1837,1936,105.39
동작구,2297,11,1245,1041,83.61
관악구,4942,34,3274,1634,49.91
서초구,3704,3,2495,1206,48.34
강남구,6502,1,4022,2479,61.64
송파구,2854,101,908,1845,203.19
강동구,2547,0,1200,1347,112.25
